Plate,Well,Cell Type,Stimuli,Inhibitor,Inhibitor Conc=uM,Time=min,,,p-Akt,p-cJun ,p-CREB ,p-ERK1/2,p-GSK-3a/b,p-IkBa,p-JNK,p-MEK1,p-p38,p-p70-S6K,p-p90-RSK,p-STAT2,p-STAT3 (Tyr705),p-IRS-1,p-Histone H3,p-Hsp27,p-p53 (Ser37),p-Tyk2,p-ATF-2,p-NFkB,p-p53 (Ser46),p-STAT3 (Ser727),p-STAT6
,,U937,LPS + IL-1b,p38i,1,60,,,9195.5,24340,1153,6240,13607.5,7167,11775.5,24589,1056.5,19532.5,5912.5,601,133,2559.5,1701,1714,2865,4149,6238,537,47.5,1053.5,146
,,U937,LPS + IL-1b,p38i,1,30,,,11936,23369,941.5,7361,19173,3558.5,6276.5,23771.5,605,15781.5,5589.5,1326,246.5,2008.5,1536.5,1083,1561.5,3491,6093,651,48.5,970.5,195.5
,,U937,LPS + IL-1b,p38i,1,15,,,9603,15112,842,6062.5,17377,4230,3003,23780,372,14122,5812.5,525,217,1511,1442,862,1023,3087.5,4451.5,196,34.5,946.5,138.5
,,U937,LPS + IL-1b,p38i,1,5,,,7769.5,16196,990,3664,12327.5,6746.5,1520,23206,311,13834,3839,510.5,299,1608,978.5,707,1020,3526,3247,205.5,41,1099,177
,,U937,LPS + GM-CSF,p38i,1,1440,,,11977.5,23913,775,7255,10374.5,3253,1871.5,22067,431,16552,5175,1007,832,1005,1196,777,906.5,2101.5,3419,176.5,52,1590,212
,,U937,LPS + GM-CSF,p38i,1,480,,,7862,25678,894,6299,17255,5757,4537,23454.5,565.5,19156.5,6226.5,1307,2004.5,1629.5,1515.5,1503,1413,2988,3855,259,63,1681,249.5
,,U937,LPS + GM-CSF,p38i,1,240,,,13765,26029.5,1673,10869,23297,14630,11185.5,26218.5,1138,23272.5,9438,907,3499,1994,2013,3404,2220,3546,3762,382.5,60,1328.5,168
,,U937,LPS + GM-CSF,p38i,1,120,,,3584,24030,729.5,9925,16530.5,17514.5,12342,25415,747,23250,6829,1158,304,2984,2866.5,3124,1762,2538,4293.5,514,49,1187,157
,,U937,LPS + GM-CSF,p38i,1,60,,,11767,24873,1545,10901,20841,5729.5,10105,25868.5,1154,23301,8930.5,947,179,2250.5,1865.5,1554.5,2362.5,3963.5,5046.5,657,53,1490.5,169
,,U937,LPS + GM-CSF,p38i,1,30,,,12997,22726,1748,14205,20881.5,2621,5044,27443.5,591,21579,11680,694,253.5,2088,1544,1147,1612.5,4376,5529,522,43.5,1308,222
,,U937,LPS + GM-CSF,p38i,1,15,,,14947,13227,1553,11750,16638,3272,2535,20477,397.5,20648,9748,401,283,1560,1304.5,814.5,874.5,3358,4342,323,43,1429,227
,,U937,LPS + GM-CSF,p38i,1,5,,,17686.5,10857.5,1417,13637,14018,2642.5,1645.5,26945,266.5,15884.5,5388.5,859,321,2125,1100,925,517,2638,2220,150,35,1159.5,238
,,U937,LPS + IFN-g,p38i,1,1440,,,15099.5,25550,1051,3764.5,14785.5,3804,2869,24059,1042,16316,5166,3218,731,1851,1733,891.5,2094.5,5182.5,4545,235.5,61.5,2143,217
,,U937,LPS + IFN-g,p38i,1,480,,,10750,27273,953,3079.5,15794.5,6796.5,5813,25390.5,979,20430,4991,7281,1117,2068,1510.5,1790,1419,3308,4773,411.5,53.5,2144.5,346
,,U937,LPS + IFN-g,p38i,1,240,,,7859.5,27039.5,887,4900,14099.5,12183.5,10497.5,25466,1184,19136,5171,8180,1463.5,2169,1634,2425.5,1523,3550,4691,456.5,53.5,1315,250.5
,,U937,LPS + IFN-g,p38i,1,120,,,5730,25569,795,2992,14506,10312,10993,21009.5,1000,14146,3719.5,10183,1090.5,2475,1268,2401,593.5,2452,6623,795,51,1610,317
,,U937,LPS + IFN-g,p38i,1,60,,,14703.5,24967,1096,7182,19567,5180,13313.5,25835,977,18056.5,6937.5,10361,793,2465,1724,1845.5,2448,6082,6749,732,58,1175,251
,,U937,LPS + IFN-g,p38i,1,30,,,11391,12508,882,5647.5,15254,2795,4727,20714.5,679,8980,5029.5,5090,1209,932,1231.5,833.5,1266,2903,4161,425,43,997,180
,,U937,LPS + IFN-g,p38i,1,15,,,11311,17132,904,5594.5,15095,4590,2251,23410,382.5,14785,3193,7415,1281,1192.5,1086.5,1025,748,2720,3446,313,34,940.5,225
,,U937,LPS + IFN-g,p38i,1,5,,,8000,9146.5,838,3982.5,12970,2703,1314.5,21553,190,14751,3682,4411,699,1154,1111,714,421.5,2023,2048,147,54,1134.5,243
,,U937,LPS + IL-6,p38i,1,1440,,,13421,24018.5,940,5199.5,14166.5,2737,1900,23659.5,426,16505,5906.5,1730,1290,1231,1483,959,1107,3947.5,3498,164,52.5,1265.5,180
,,U937,LPS + IL-6,p38i,1,480,,,10483,25973,1065.5,4993.5,18466.5,6306,3895,24534,1371,18806,5326,3058,2269,1710,1123,1656,1282,2817.5,4956,222.5,51.5,1805.5,281
,,U937,LPS + IL-6,p38i,1,240,,,6033.5,25542,952.5,4141,11417.5,8828,6703,24132,943,18529.5,4482,719,2170,1991,1432.5,1764.5,1709,3237,6099.5,619,66.5,1845,247
,,U937,LPS + IL-6,p38i,1,120,,,12633,24854,833,3417,20450.5,12937,10300.5,23068.5,1100.5,21693.5,4991,1173,1294,4273.5,1917.5,4059,1951.5,3393.5,8373,973.5,78,1331.5,218
,,U937,LPS + IL-6,p38i,1,60,,,3753.5,16635,841,2301.5,11673,3947,8668,,871,12169,1862,263,3375,2024,1267,1890,1627,3284,8526,1523,78,2724,382.5
,,U937,LPS + IL-6,p38i,1,30,,,12638,20683,922,8098,25185,3680.5,4107,24990,584,21056,18074,2669.5,8220,1678,1531.5,1059,1087.5,4088,4898,681.5,54,1568,228
,,U937,LPS + IL-6,p38i,1,15,,,13411,14495,1057,6053.5,19570,3901,2282,24640,387,13152,6021.5,792.5,9999,1115,1350.5,911,1104,3426.5,5416.5,584.5,50,2583.5,330
,,U937,LPS + IL-6,p38i,1,5,,,9218.5,9374,829,3882,13569,2427,1274,19157.5,168,12776,3307,518.5,5602,1174.5,1049,674.5,568,2798,3541,266,43.5,2503.5,356
,,U937,LPS + IL-10,p38i,1,1440,,,10683,25388,774.5,4278,11519,3653.5,2168.5,24858,555,14988,5182,710,3737,1883.5,1766.5,981,1005,3838,4725,145,57,1033.5,246.5
,,U937,LPS + IL-10,p38i,1,480,,,10161.5,26237,1092.5,4938,16638,5670,4024.5,24001,964,20692.5,5825.5,1390,7689.5,2034,1276,2235,1384,4471,5246,243.5,70,1970,283
,,U937,LPS + IL-10,p38i,1,240,,,11863,25797,881,4672.5,15691.5,6435.5,6249,25092,825,17492.5,5154,659,5917,2310,1835,2950.5,1426.5,3880,4529,258,52,1766,272
,,U937,LPS + IL-10,p38i,1,120,,,6482.5,25085,558.5,2279,9444.5,9952.5,8741.5,24065,701,15678.5,3768.5,464,3559,1676,1377.5,1869,780,2000,5362.5,675,64.5,1545.5,251
,,U937,LPS + IL-10,p38i,1,60,,,9299,11962,528.5,1253.5,3063,2799,6358,,253,14206.5,967,646.5,3419,909,1416.5,1144,1140,2139.5,8364,1107,85,2449,343
,,U937,LPS + IL-10,p38i,1,30,,,2324,3227,487,1624.5,6803.5,1686,1264,17581.5,238,62.5,2193,541,5841,302,635,499,491,1463,4369,481,46,1269,171
,,U937,LPS + IL-10,p38i,1,15,,,9523,15155,592.5,4945,15592,3635.5,1737,23851,297,13160,4774.5,1088,10583.5,1531,1391,670.5,1420,3550,4978,455.5,53,2627,301
,,U937,LPS + IL-10,p38i,1,5,,,8869.5,11399.5,1378,5759.5,15104,2279,1058,25296.5,276,14977,5830,1452,6576,1216,1426,1142,951,2944,2137,129,42,1232.5,235
,,U937,IL-1a,JNKi,1,1440,,,9455.5,8129,1161,4393,12237,2754,881.5,25658,924.5,14974,4083,1869,507,1338.5,1320,2604.5,904.5,2965,1138,169,65,961,227
,,U937,IL-1a,JNKi,1,480,,,7831,7881,1283,3552.5,13184,4013.5,1129.5,23840,1231,13986,3266.5,1097,378,1465,1172,2865.5,816,2415,1504,151,50,898.5,194
,,U937,IL-1a,JNKi,1,240,,,6440,8052,1287.5,3742,11874,3521,1108,23221,1097.5,11019,3037,684,394,1079,899.5,2952,573,1763,1749.5,154,36.5,762.5,199
,,U937,IL-1a,JNKi,1,120,,,8873.5,6488.5,1232,3256,12121,3594,942,24639,961,14242.5,3069,649,313,1174,977.5,2683.5,544,1868,1725,150,35,861,202
,,U937,IL-1a,JNKi,1,60,,,6834,4997.5,,3131,8420.5,2363.5,889,,667,13930,3139.5,349.5,183,1132.5,1067.5,2620.5,386,1885,1559,120,34,882,218
,,U937,IL-1a,JNKi,1,30,,,7682.5,7608,1131.5,2633,8334,1513,796,,820,15266.5,,524,159,87,957,5193,478,1989,1468,110,33,793,172
,,U937,IL-1a,JNKi,1,15,,,8680.5,7012,1409.5,3864.5,12011,1907.5,1561.5,23524.5,867.5,15248,4204,704,202,1138,1175.5,8166,546.5,1875,1905,160,46,817,201
,,U937,IL-1a,JNKi,1,5,,,7639.5,4685,1263,3259,8607,4371,1047,23999,931,12925.5,2891,349,167,926,871,3713,339.5,1676,1997,121,37,691.5,191
,,U937,IL-1b,JNKi,1,1440,,,9745,8902,1470,4490,13582,3510,1111,24179,1032.5,16678.5,4303,1610,637,1477,1400,3143,1004,2922,1293,123,30,1046.5,186
,,U937,IL-1b,JNKi,1,480,,,8098.5,7054,1173,3637.5,12759.5,4232.5,1158.5,23739.5,1238,15625.5,3323,1094,438,1459,1015,2900,790,2833,1183.5,119,29,777,131
,,U937,IL-1b,JNKi,1,240,,,8965,6145,1484.5,3112.5,15601,4363,1772,24491,1357,14253,4364.5,774,566,1526.5,1159,3288,912,2474,1791.5,195,36,973.5,194
,,U937,IL-1b,JNKi,1,120,,,5502,6080,939,3035,11356.5,2779,1254.5,16265,958,12211,3133.5,470.5,290,961,1171,2646.5,629.5,2403,1741.5,179,36,736.5,221
,,U937,IL-1b,JNKi,1,60,,,4877,4181,705.5,2268.5,8537.5,1894,727,,532.5,10112.5,,437,268.5,1085,824.5,2753,389,1698,1195,116,31.5,713,172
,,U937,IL-1b,JNKi,1,30,,,7175,7062,949,2356,8080,1160.5,1123,23291,646,12758,2966.5,972,246,1107,693,6545,457.5,1668,1608.5,126,31,643,159.5
,,U937,IL-1b,JNKi,1,15,,,6064.5,5622.5,1195,3102,11528.5,1638,861,23945,879.5,14068,3097,567,231,1137,945,6124,431,1606,1724,156,37,864,247
,,U937,IL-1b,JNKi,1,5,,,6438.5,4269,1082,2682,8760,4057,892,21661,1002,12952,3410,432,195,1145,906,7277,381,1339,1914.5,173,41,948.5,200
,,U937,GM-CSF,JNKi,1,1440,,,10109,5726.5,1020.5,5004,12723,1924.5,940,24288.5,443.5,17214.5,4928.5,863,114,952,1165,1399,441,1760.5,695,132,32,1128,187
,,U937,GM-CSF,JNKi,1,480,,,7345,5506.5,1096,5322,12322,2321,1147,21269,534,16243,3067,524.5,142,1370,1104.5,1046.5,445,2102,676,118,33,1038.5,158.5
,,U937,GM-CSF,JNKi,1,240,,,6833,3234,1068,7137.5,11050,1956,1204,16500,352,12383.5,3570,518.5,139,1380,1247,1037,384,1269.5,894,140,30,1013.5,175.5
,,U937,GM-CSF,JNKi,1,120,,,8187.5,3878,949,6283,15567,2419.5,1325.5,26454.5,509,18420,6001.5,929,359,1520,1345,1244,777.5,2674,725,140,33.5,1023,177
,,U937,GM-CSF,JNKi,1,60,,,7345,4169.5,1035.5,6772,,1632,970.5,18298.5,620,13047,3288,496,287.5,1308,1223,1850,353,1521,1399.5,114,27.5,1139,195
,,U937,GM-CSF,JNKi,1,30,,,8238,4205,2015,7717,11716,1266,1015,27930,622.5,15916.5,5375,464,241,1927,1464,1696,385,2171,1510,116,31,1052,212
,,U937,GM-CSF,JNKi,1,15,,,10053,4010,2602,11410,14941.5,1279,906,27048,578,20369.5,6312.5,668.5,452,1688,1152.5,1151.5,416,2408,1652,109,46,1299.5,300.5
,,U937,GM-CSF,JNKi,1,5,,,11510,4130,1311,7873.5,13294.5,1140.5,906,27144.5,563,15661,4630,1724,362.5,1478,1195,1402,542.5,3007,1229,111,33,928.5,238
,,U937,IFN-g,JNKi,1,1440,,,11288,3106,1112,2815,10025,854,760,24083,623,8831,2591,1637,257,2986,1198,1577,617,1773,891.5,59,30,1695,131
,,U937,IFN-g,JNKi,1,480,,,7311,3906,940,2463,12588.5,1022,1145.5,,527.5,10797,3302,1620,469,1789,1105,1011,618,1743.5,1102.5,72.5,38,890,165
,,U937,IFN-g,JNKi,1,240,,,4606,2774,982.5,3058,9333,901.5,1009,,396.5,14641,3916,1057.5,864,1544.5,1139,1050,567,2338,1377,86,33,914,163.5
,,U937,IFN-g,JNKi,1,120,,,5501,2951.5,933,3369,7716,1010,1323.5,19924.5,464.5,17410,2104,3316,1256,1525,763,1759,588,2683,1608.5,85,28,918.5,209
,,U937,IFN-g,JNKi,1,60,,,5275,2755,925,2178,10405,998,1098,,831,13834.5,3146,5221,1292,1074,1153.5,2115,428,2166.5,2198.5,98.5,33.5,903,280
,,U937,IFN-g,JNKi,1,30,,,6871,2952,998,3238,8539,1125,974,24788,604,13006,3129,7241,1608,1264,1183,1273.5,341,2290,1154.5,97,28,795,210
,,U937,IFN-g,JNKi,1,15,,,6043,2749,886,3016,9389,1118.5,808.5,23735,390.5,14630.5,3020,5327,1287,1005,1084,1064,327,1681,1014,94,30,773,264
,,U937,IFN-g,JNKi,1,5,,,5361.5,2994,850.5,3238,7995,1257,827,24181.5,495.5,13137,2531,5946.5,794.5,1194,1059,1278,309,1864,1226,115.5,31,902,311
,,U937,IL-6,JNKi,1,1440,,,4743,2902,440.5,2433.5,6758,499,453,15717,307,11586.5,1744,295,833,679,779,516,374,1805,1153,92,30,1206,221
,,U937,IL-6,JNKi,1,480,,,8080,2928.5,873,2314,11106,901,984,23234.5,274,10103,3767,509,1415,1386.5,1010,930,536,2678,1109,79,33.5,874,167
,,U937,IL-6,JNKi,1,240,,,4477,2173,711,2595,9198,649,934,8685.5,271,11302.5,,336,967,1254,844.5,946.5,405.5,2078,986,93,31,935.5,178
,,U937,IL-6,JNKi,1,120,,,3202,1540,,2704,5683.5,738,882,16457,388,9697.5,1484.5,850.5,1373,1007,1175,990,738,2294,1282.5,147.5,34.5,1108,248
,,U937,IL-6,JNKi,1,60,,,3924,2747,1213,2865,11087,1021.5,1093,17296,861,15317,3509,450,3352,680,1040.5,2467,605,1945,1622.5,90,30,1011,173
,,U937,IL-6,JNKi,1,30,,,4214,1951.5,806,2202,7458,1019,726,23434,424,9253.5,2024.5,1342,6178,872,993,1034,243.5,1642,1127.5,79.5,24,1084.5,150.5
,,U937,IL-6,JNKi,1,15,,,3710.5,2364,813,2909.5,8061,1269.5,672,17978.5,487,10777.5,2312.5,600.5,7782,1071,830,1014,226,1596,872,99.5,24.5,1144,196
,,U937,IL-6,JNKi,1,5,,,6811,3720,821,2837,11272,1236,820,23865,468,13718,2923,582,5655,1144,991,1124,420,1991,1128.5,92.5,34,934,191.5
,,U937,IL-10,JNKi,1,1440,,,10203,3712.5,863.5,4694,12359,946,693.5,23920,507,12615,4356,613,2835.5,1927,1325,1096,1036,3734,285,50,30,896,93
,,U937,IL-10,JNKi,1,480,,,6685,2721,660,2384,5781.5,805,446.5,11632.5,279.5,13451,2180.5,306,2457,1172,956,643.5,599.5,1994,1166,78,28.5,1039,153
